PropertyKey|RealEstatePropertyCode|ProvalLrsnId|NeighborhoodNbr|PropertyStreetNbrNameText|SalesTypeCode|SalesTypeDsc|DeedBookNbr|DeedPageNbr|GranteeName|SaleAmt|SaleDate|LandRecordDocumentNbr|MaskOwnerAddressInd
23312|17040246|31216|412006|1111 ARLINGTON BLVD 642|||2854|0479|ARLAND LLC                          |50000|1997-09-30 00:00:00||False
23312|17040246|31216|412006|1111 ARLINGTON BLVD 642|O|O-Assignment of Lease|||ARLAND LLC|185000|2022-11-04 00:00:00|20220100018998                  |False
23313|17040247|31217|412006|1111 ARLINGTON BLVD 643|1|1-Foreclosure, Auction, Bankru|2790|1547|ARLAND LLC                          |38000|1996-08-14 00:00:00||False
23313|17040247|31217|412006|1111 ARLINGTON BLVD 643|1|1-Foreclosure, Auction, Bankru|2864|0284|ARLAND LLC                          |57300|1997-12-09 00:00:00||False
23313|17040247|31217|412006|1111 ARLINGTON BLVD 643|7|7-Partial Interest|3808|2440|ARLAND LLC                          |99500|2004-12-22 00:00:00||False
23313|17040247|31217|412006|1111 ARLINGTON BLVD 643|||4044|2675|ARLAND LLC                          |250000|2006-11-21 00:00:00||False
23313|17040247|31217|412006|1111 ARLINGTON BLVD 643|O|O-Assignment of Lease|    |    |ARLAND LLC                          |196000|2019-05-13 00:00:00|20190100008068                  |False
23313|17040247|31217|412006|1111 ARLINGTON BLVD 643|O|O-Assignment of Lease|||ARLAND LLC|182000|2023-03-30 00:00:00|20230100003144                  |False
66633|17040248|31218|412006|1111 ARLINGTON BLVD 644|F|F-Multiple RPCs Not Market Sal|2818|0262|ARLAND LLC                          |2755400|1996-12-20 00:00:00||False
66633|17040248|31218|412006|1111 ARLINGTON BLVD 644|5|5-Not Market Sale|2829|1675|ARLAND LLC                          |1860000|1997-04-30 00:00:00||False
66633|17040248|31218|412006|1111 ARLINGTON BLVD 644|||3051|2061|ARLAND LLC                          |31010|2000-04-14 00:00:00||False
23314|17040249|31219|412006|1111 ARLINGTON BLVD 645|5|5-Not Market Sale|1624|0099|ARLAND LLC|0|1966-01-01 00:00:00||False
23314|17040249|31219|412006|1111 ARLINGTON BLVD 645|O|O-Assignment of Lease|2156|0428|SIBAY MOUNZER|69647|1983-07-19 00:00:00||False
23314|17040249|31219|412006|1111 ARLINGTON BLVD 645|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
23314|17040249|31219|412006|1111 ARLINGTON BLVD 645|O|O-Assignment of Lease|    |    |ARLAND LLC|0|2025-06-23 00:00:00|20250100007754                  |False
23315|17040250|31220|412006|1111 ARLINGTON BLVD 646|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
